time,accx,accy,accz
8388, -4475,  5263,  6191
8399, -4539,  5335,  6115
8409, -4485,  5363,  5946
8418, -4328,  5331,  5688
8429, -4149,  5290,  5421
8439, -4004,  5306,  5198
8450, -3901,  5366,  5040
8459, -3842,  5432,  4967
8468, -3876,  5496,  5000
8479, -3966,  5537,  5078
8488, -4018,  5542,  5129
8499, -4002,  5524,  5135
8509, -3956,  5474,  5124
8518, -3934,  5407,  5135
8529, -3942,  5373,  5193
8538, -3993,  5357,  5275
8549, -4048,  5361,  5334
8558, -4050,  5356,  5341
8569, -4001,  5312,  5309
8579, -3937,  5202,  5319
8588, -3957,  5022,  5432
8599, -4068,  4772,  5625
8608, -4203,  4385,  5886
8619, -4331,  3672,  6187
8628, -4533,  2578,  6547
8638, -4788,  1243,  7028
8649, -5078,  -300,  7606
8658, -5406, -1869,  8153
8669, -5781, -3149,  8493
8678, -6012, -4113,  8401
8689, -5893, -4592,  7927
8699, -5587, -4256,  7140
8708, -5135, -3062,  6308
8719, -4637, -1275,  5698
8728, -4242,   657,  5497
8739, -4248,  2300,  5633
8748, -4423,  3370,  5912
8758, -4584,  3911,  6129
8769, -4753,  4193,  6149
8778, -4806,  4465,  5914
8789, -4688,  4990,  5540
8798, -4487,  5742,  5090
8809, -4226,  6460,  4630
8818, -3892,  7009,  4238
8828, -3643,  7471,  3978
8839, -3522,  8058,  3850
8848, -3545,  8908,  3919
8859, -3667,  9972,  4079
8868, -3942, 11072,  4340
8879, -4239, 11854,  4661
8888, -4441, 12123,  4954
8898, -4681, 12062,  5313
8909, -5109, 11780,  5649
8918, -5476, 11146,  6030
8929, -5772, 10382,  6510
8938, -6286,  9863,  7212
8949, -8592,  9667,  9645
8958, -8909,  9720,  9821
8968, -6836,  9638,  8504
8979, -5770,  8952,  7864
8988, -6099,  8083,  7802
8998, -6406,  7382,  7975
9009, -6330,  6865,  7875
9018, -5907,  6530,  7446
9027, -5305,  6287,  6909
9038, -4792,  6020,  6369
9048, -4373,  5758,  5942
9059, -4096,  5527,  5692
9068, -3925,  5334,  5584
9078, -3862,  5168,  5588
9089, -3870,  4955,  5654
9098, -3915,  4761,  5748
9109, -3984,  4647,  5831
9118, -4028,  4575,  5880
9127, -4035,  4599,  5886
9138, -4044,  4733,  5879
9148, -4037,  4898,  5853
9159, -3985,  4976,  5822
9168, -3945,  4993,  5831
9177, -3960,  5053,  5865
9188, -4032,  5099,  5940
9197, -4162,  5052,  6051
9208, -4301,  5030,  6144
9218, -4398,  5023,  6221
9229, -4420,  4978,  6245
9238, -4404,  4958,  6223
9247, -4384,  4968,  6192
9258, -4393,  4997,  6175
9267, -4434,  5051,  6165
9278, -4468,  5099,  6157
9288, -4469,  5094,  6166
9297, -4493,  5130,  6190
9308, -4529,  5197,  6162
9317, -4488,  5201,  6101
9328, -4395,  5173,  6077
