time,accx,accy,accz
9618, -1660,   315,  1254
9627, -2091,   202,  1346
9638, -2537,   104,  1434
9648, -2734,    67,  1554
9657, -2712,  -119,  1584
9668, -2572,  -456,  1466
9677, -2402,  -716,  1309
9688, -2412,  -782,  1224
9697, -2673,  -629,  1169
9707, -3013,  -275,  1051
9718, -3241,   275,   844
9727, -3196,   979,   575
9738, -2949,  1546,   229
9747, -2575,  1905,  -195
9758, -1966,  2291,  -469
9767, -1399,  2690,  -660
9777,  -882,  2889,  -772
9788,  -321,  2810,  -714
9797,    71,  2452,  -626
9808,   425,  2006,  -496
9817,   731,  1616,  -360
9828,   887,  1209,  -315
9837,  1140,   940,  -189
9847,  1324,   844,   -88
9858,  1406,   737,  -163
9867,  1667,   762,  -184
9878,  1911,  1006,  -184
9887,  2163,  1230,  -130
9896,  2488,  1423,   136
9907,  2607,  1491,   445
9917,  2661,  1436,   680
9928,  2753,  1365,   734
9937,  2859,  1288,   559
9948,  3035,  1136,   336
9957,  3129,   715,   285
9967,  2940,   226,   562
9978,  2441,  -142,  1033
9987,  1850,  -367,  1432
9998,  1468,  -520,  1613
10007,  1358,  -540,  1613
10016,  1260,  -374,  1449
10027,  1204,  -165,  1158
10037,  1312,   125,   836
10048,  1495,   464,   520
10057,  1707,   772,   319
10066,  1773,   991,   299
10077,  1601,  1097,   503
10087,  1238,  1192,   769
10098,   803,  1268,   839
10107,   651,  1260,   727
10118,   721,  1160,   614
10127,   624,   954,   562
10136,   -18,   706,  1264
10147,  -279,   619,  1283
10157,   -92,   675,  1179
10168,   -40,   663,   998
10177,  -207,   646,   937
10186,  -358,   702,   969
10197,  -486,   821,   941
10206,  -504,   898,   770
10217,  -344,   873,   495
10227,  -119,   764,   211
10238,    22,   674,    68
10247,   -34,   649,    73
10256,  -175,   600,   160
10267,  -267,   521,   263
10277,  -308,   431,   335
10288,  -336,   356,   349
10297,  -339,   343,   414
10306,  -397,   455,   508
10317,  -460,   567,   559
10326,  -415,   613,   532
10337,  -265,   644,   445
