time,gyrx,gyry,gyrz
6171,    -3,    18,     7
6180,    -1,    18,     8
6190,    -2,    16,     8
6201,    -5,    13,     8
6210,    -6,     7,     7
6221,   -10,     0,     8
6230,   -11,    -8,     9
6239,   -12,   -16,    11
6250,   -14,   -21,    13
6260,   -20,   -23,    13
6271,   -26,   -24,    12
6280,   -31,   -24,    12
6291,   -36,   -24,    11
6300,   -34,   -24,     9
6309,   -28,   -23,     9
6321,   -22,   -18,     9
6330,   -15,   -15,    10
6339,   -11,   -14,    10
6350,   -10,   -12,    10
6360,    -9,   -10,    12
6370,   -11,   -11,    12
6380,   -13,   -15,    11
6391,   -13,   -17,     8
6400,   -15,   -18,     5
6411,   -18,   -19,     2
6420,   -20,   -21,    -1
6430,   -22,   -23,    -2
6441,   -21,   -26,    -2
6450,   -18,   -27,    -1
6461,   -15,   -27,     0
6470,   -13,   -24,     1
6480,   -11,   -20,     2
6490,   -11,   -16,     3
6500,   -11,   -11,     3
6511,   -13,    -9,     3
6520,   -14,    -9,     2
6529,   -15,   -13,     1
6540,   -17,   -17,     1
6549,   -19,   -20,    -1
6560,   -18,   -24,    -2
6570,   -15,   -26,    -3
6579,   -12,   -26,    -4
6591,    -9,   -25,    -4
6600,    -9,   -24,    -3
6609,   -11,   -20,    -3
6621,   -14,   -15,     0
6630,   -16,   -11,     2
6639,   -17,    -9,     4
6650,   -16,    -8,     5
6660,   -15,   -10,     6
6669,   -14,   -12,     6
6680,   -13,   -13,     7
6690,   -11,   -14,     7
6699,   -10,   -15,     5
6710,    -9,   -18,     2
6720,    -6,   -19,    -1
6729,    -4,   -17,    -1
6741,    -4,   -12,     1
6750,    -5,    -6,     5
6760,    -7,    -2,     9
6771,    -8,    -1,    11
6780,    -9,    -1,    12
6790,    -9,    -2,    13
6800,   -10,    -5,    13
6810,   -10,    -9,    13
6820,   -10,   -15,    10
6829,   -11,   -19,     8
6840,   -11,   -23,     4
6850,   -12,   -23,     2
6860,   -12,   -21,     2
6870,   -13,   -16,     5
6880,   -15,   -12,     9
6889,   -12,   -11,    11
6900,    -9,   -12,    10
6910,    -7,   -12,     9
6919,    -5,   -11,     7
6930,    -4,   -10,     4
6940,    -3,    -9,     2
6949,     1,    -7,    -1
6959,     5,    -7,    -7
6970,     8,    -7,   -13
6980,     9,    -6,   -18
6989,     9,    -2,   -21
7000,     9,     4,   -21
7010,     9,     8,   -16
7019,     3,     6,   -13
7029,    -5,     0,   -12
7040,   -11,    -8,   -11
7049,   -14,   -17,   -13
7059,   -15,   -25,   -15
7070,   -18,   -27,   -15
7079,   -27,   -14,    -9
7089,   -25,    -5,    -9
7100,   -17,    -6,   -13
7109,   -10,   -12,   -11
7119,    -9,   -17,    -6
7130,   -12,   -23,    -4
7139,   -15,   -28,    -6
7149,   -17,   -31,   -11
7160,   -17,   -33,   -16
7169,   -16,   -36,   -21
7179,   -15,   -37,   -26
7189,   -14,   -36,   -29
7200,   -13,   -32,   -32
7209,   -14,   -28,   -34
7220,   -16,   -25,   -38
7230,   -17,   -26,   -47
7239,   -17,   -32,   -57
7250,   -17,   -38,   -67
7259,   -13,   -42,   -76
7269,    -7,   -43,   -82
7280,    -3,   -42,   -89
7289,     0,   -43,   -97
7299,     2,   -47,  -104
7310,     3,   -46,  -110
7319,     7,   -36,  -117
7329,     4,   -27,  -127
7340,    -7,   -18,  -136
7350,   -22,    -8,  -151
7359,   -40,     0,  -174
7369,   -63,     3,  -201
7380,   -83,     5,  -212
7389,   -89,    -1,  -210
7399,   -80,   -14,  -202
7409,   -58,   -37,  -181
7419,   -25,   -53,  -151
7429,     0,   -60,  -144
7440,    10,   -60,  -152
7449,    12,   -54,  -161
7459,     8,   -40,  -164
7470,     1,   -18,  -164
7479,    -3,     9,  -156
7489,    -6,    43,  -136
7498,    -5,    68,  -117
7509,     0,    74,   -96
7519,     4,    61,   -79
7528,     4,    40,   -68
7539,     4,    20,   -61
7549,     2,    11,   -57
7558,    -2,    10,   -56
7569,    -5,    17,   -54
7579,    -9,    26,   -51
7588,   -14,    32,   -48
7599,   -19,    34,   -48
7609,   -24,    31,   -44
7619,   -28,    24,   -38
7628,   -28,    14,   -30
7639,   -24,     6,   -21
7649,   -19,     3,   -12
7659,   -13,     5,    -8
7668,   -11,     7,    -7
7679,   -10,     5,    -9
7689,   -12,     0,   -10
7699,   -14,    -7,   -10
7709,   -21,   -15,    -9
7719,   -30,   -21,    -9
7728,   -38,   -24,    -7
